"filename", "language", "XML", "YAML", "C#", "MS SQL", "comment", "blank", "total"
"c:\Users\darli\RiderProjects\kir1l9x\.github\workflows\dotnet.yaml", "YAML", 0, 21, 0, 0, 0, 7, 28
"c:\Users\darli\RiderProjects\kir1l9x\.github\workflows\forbid-config-changes.yaml", "YAML", 0, 35, 0, 0, 0, 5, 40
"c:\Users\darli\RiderProjects\kir1l9x\CRM\CRM.csproj", "XML", 20, 0, 0, 0, 0, 5, 25
"c:\Users\darli\RiderProjects\kir1l9x\CRM\Program.cs", "C#", 0, 0, 25, 0, 0, 5, 30
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\ConsoleUI.csproj", "XML", 15, 0, 0, 0, 0, 5, 20
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Extensions\ScenariosCollectionExtensions.cs", "C#", 0, 0, 52, 0, 0, 4, 56
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\IScenario.cs", "C#", 0, 0, 6, 0, 0, 2, 8
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\IScenarioProvider.cs", "C#", 0, 0, 6, 0, 0, 2, 8
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\ScenarioRunner.cs", "C#", 0, 0, 30, 0, 0, 6, 36
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Changing\ChangeOwnNameScenario.cs", "C#", 0, 0, 17, 0, 0, 5, 22
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Changing\ChangeOwnNameScenarioProvider.cs", "C#", 0, 0, 25, 0, 0, 5, 30
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Changing\ChangeOwnPasswordScenario.cs", "C#", 0, 0, 17, 0, 0, 5, 22
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Changing\ChangeOwnPasswordScenarioProvider.cs", "C#", 0, 0, 25, 0, 0, 5, 30
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Changing\ChangeUserNameScenario.cs", "C#", 0, 0, 28, 0, 0, 5, 33
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Changing\ChangeUserNameScenarioProvider.cs", "C#", 0, 0, 25, 0, 0, 5, 30
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Changing\ChangeUserPasswordScenario.cs", "C#", 0, 0, 28, 0, 0, 5, 33
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Changing\ChangeUserPasswordScenarioProvider.cs", "C#", 0, 0, 25, 0, 0, 5, 30
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Changing\ChangeUserRoleScenario.cs", "C#", 0, 0, 41, 0, 0, 6, 47
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Changing\ChangeUserRoleScenarioProvider.cs", "C#", 0, 0, 25, 0, 0, 5, 30
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Creation\CreateNewAccountScenario.cs", "C#", 0, 0, 27, 0, 0, 6, 33
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Creation\CreateNewAccountScenarioProvider.cs", "C#", 0, 0, 25, 0, 0, 5, 30
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Creation\CreateNewUserScenario.cs", "C#", 0, 0, 28, 0, 0, 6, 34
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Creation\CreateNewUserScenarioProvider.cs", "C#", 0, 0, 25, 0, 0, 5, 30
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Deleting\DeleteAccountScenario.cs", "C#", 0, 0, 27, 0, 0, 5, 32
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Deleting\DeleteAccountScenarioProvider.cs", "C#", 0, 0, 25, 0, 0, 5, 30
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Deleting\DeleteUserScenario.cs", "C#", 0, 0, 27, 0, 0, 5, 32
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Deleting\DeleteUserScenarioProvider.cs", "C#", 0, 0, 25, 0, 0, 5, 30
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\LogOutScenario.cs", "C#", 0, 0, 17, 0, 0, 5, 22
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\LogOutScenarioProvider.cs", "C#", 0, 0, 25, 0, 0, 5, 30
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Show\FindUserByIdScenario.cs", "C#", 0, 0, 32, 0, 0, 6, 38
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Show\FindUserByIdScenarioProvider.cs", "C#", 0, 0, 25, 0, 0, 5, 30
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Show\FindUserByUsernameScenario.cs", "C#", 0, 0, 32, 0, 0, 6, 38
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Show\FindUserByUsernameScenarioProvider.cs", "C#", 0, 0, 25, 0, 0, 5, 30
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Show\GetUserAccountsInfoScenario.cs", "C#", 0, 0, 46, 0, 0, 10, 56
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Show\GetUserAccountsInfoScenarioProvider.cs", "C#", 0, 0, 25, 0, 0, 5, 30
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Show\ShowAccountTransactionsByDateScenario.cs", "C#", 0, 0, 49, 0, 0, 10, 59
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Show\ShowAccountTransactionsByDateScenarioProvider.cs", "C#", 0, 0, 27, 0, 0, 5, 32
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Show\ShowAccountTransactionsScenario.cs", "C#", 0, 0, 47, 0, 0, 10, 57
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Show\ShowAccountTransactionsScenarioProvider.cs", "C#", 0, 0, 27, 0, 0, 5, 32
