Date : 2024-12-29 15:16:11
Directory : c:\Users\darli\RiderProjects\kir1l9x
Total : 311 files,  9218 codes, 9 comments, 2274 blanks, all 11501 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |        288 |      8,781 |          0 |      2,164 |     10,945 |
| XML      |         19 |        301 |          2 |         81 |        384 |
| YAML     |          3 |         72 |          0 |         15 |         87 |
| MS SQL   |          1 |         64 |          7 |         14 |         85 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                         | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                            |        311 |      9,218 |          9 |      2,274 |     11,501 |
| . (Files)                                                                                                                                                    |          4 |        145 |          9 |         22 |        176 |
| .github                                                                                                                                                      |          2 |         56 |          0 |         12 |         68 |
| .github\workflows                                                                                                                                            |          2 |         56 |          0 |         12 |         68 |
| CRM                                                                                                                                                          |          2 |         45 |          0 |         10 |         55 |
| ConsoleUI                                                                                                                                                    |         69 |      1,942 |          0 |        390 |      2,332 |
| ConsoleUI (Files)                                                                                                                                            |          4 |         57 |          0 |         15 |         72 |
| ConsoleUI\Extensions                                                                                                                                         |          1 |         52 |          0 |          4 |         56 |
| ConsoleUI\Scenarios                                                                                                                                          |         64 |      1,833 |          0 |        371 |      2,204 |
| ConsoleUI\Scenarios\Admin                                                                                                                                    |         40 |      1,180 |          0 |        239 |      1,419 |
| ConsoleUI\Scenarios\Admin (Files)                                                                                                                            |          2 |         42 |          0 |         10 |         52 |
| ConsoleUI\Scenarios\Admin\Changing                                                                                                                           |         10 |        256 |          0 |         51 |        307 |
| ConsoleUI\Scenarios\Admin\Creation                                                                                                                           |          4 |        105 |          0 |         22 |        127 |
| ConsoleUI\Scenarios\Admin\Deleting                                                                                                                           |          4 |        104 |          0 |         20 |        124 |
| ConsoleUI\Scenarios\Admin\Show                                                                                                                               |         20 |        673 |          0 |        136 |        809 |
| ConsoleUI\Scenarios\Client                                                                                                                                   |         20 |        538 |          0 |        110 |        648 |
| ConsoleUI\Scenarios\Client (Files)                                                                                                                           |          2 |         42 |          0 |         10 |         52 |
| ConsoleUI\Scenarios\Client\Change                                                                                                                            |          4 |         84 |          0 |         20 |        104 |
| ConsoleUI\Scenarios\Client\Create                                                                                                                            |          2 |         40 |          0 |         10 |         50 |
| ConsoleUI\Scenarios\Client\Deleting                                                                                                                          |          2 |         69 |          0 |         12 |         81 |
| ConsoleUI\Scenarios\Client\Money                                                                                                                             |          4 |        116 |          0 |         20 |        136 |
| ConsoleUI\Scenarios\Client\Show                                                                                                                              |          6 |        187 |          0 |         38 |        225 |
| ConsoleUI\Scenarios\EntryScenario                                                                                                                            |          4 |        115 |          0 |         22 |        137 |
| Contracts                                                                                                                                                    |         21 |        261 |          0 |        125 |        386 |
| Contracts (Files)                                                                                                                                            |          1 |         11 |          0 |          4 |         15 |
| Contracts\Accounts                                                                                                                                           |          1 |         13 |          0 |          7 |         20 |
| Contracts\AuditLogs                                                                                                                                          |          1 |         10 |          0 |          6 |         16 |
| Contracts\Controllers                                                                                                                                        |         15 |        198 |          0 |         92 |        290 |
| Contracts\Controllers (Files)                                                                                                                                |          3 |         51 |          0 |         38 |         89 |
| Contracts\Controllers\OperationResults                                                                                                                       |         12 |        147 |          0 |         54 |        201 |
| Contracts\Transactions                                                                                                                                       |          1 |          9 |          0 |          4 |         13 |
| Contracts\Users                                                                                                                                              |          2 |         20 |          0 |         12 |         32 |
| DataAccess                                                                                                                                                   |          6 |        557 |          0 |        139 |        696 |
| DataAccess (Files)                                                                                                                                           |          1 |         15 |          0 |          5 |         20 |
| DataAccess\Extensions                                                                                                                                        |          1 |         23 |          0 |          3 |         26 |
| DataAccess\Repositories                                                                                                                                      |          4 |        519 |          0 |        131 |        650 |
| Entities                                                                                                                                                     |          8 |        374 |          0 |         86 |        460 |
| Entities (Files)                                                                                                                                             |          2 |         81 |          0 |         23 |        104 |
| Entities\Accounts                                                                                                                                            |          1 |         65 |          0 |         14 |         79 |
| Entities\AuditLogs                                                                                                                                           |          1 |         29 |          0 |          7 |         36 |
| Entities\Transactions                                                                                                                                        |          2 |         96 |          0 |         18 |        114 |
| Entities\Users                                                                                                                                               |          2 |        103 |          0 |         24 |        127 |
| Interfaces                                                                                                                                                   |          5 |         54 |          0 |         32 |         86 |
| Interfaces (Files)                                                                                                                                           |          1 |         10 |          0 |          4 |         14 |
| Interfaces\Repositories                                                                                                                                      |          4 |         44 |          0 |         28 |         72 |
| ServiceControllers                                                                                                                                           |          3 |        552 |          0 |         98 |        650 |
| ServiceControllers (Files)                                                                                                                                   |          2 |        529 |          0 |         95 |        624 |
| ServiceControllers\Extensions                                                                                                                                |          1 |         23 |          0 |          3 |         26 |
| Services                                                                                                                                                     |          6 |        345 |          0 |         67 |        412 |
| Services (Files)                                                                                                                                             |          1 |         12 |          0 |          4 |         16 |
| Services\Accounts                                                                                                                                            |          1 |        101 |          0 |         20 |        121 |
| Services\AuditLogs                                                                                                                                           |          1 |         53 |          0 |         10 |         63 |
| Services\Transactions                                                                                                                                        |          1 |         59 |          0 |         10 |         69 |
